regime,seed,task,scenario,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
sensor_comm,9101,straight,L4 loss + CC dropout,0.9062483550934665,1.3677518956135462,0.3659826737924761,6.916489878395693
sensor_comm,9101,straight,L4 slip only,0.3981363689292957,0.42382177409269917,0.0039208238411575875,3.5666544979063164
sensor_comm,9101,straight,L4 slip + CC dropout,0.4033881469507743,0.43777818813071256,0.013434109311183356,2.566044307589406
sensor_comm,9101,s_lr,CC dropout only,0.4651547768754331,0.3897467686753967,0.11867617986135945,2.9054633353594204
sensor_comm,9101,s_lr,CC intermittent only,0.4647118187944776,0.3914271275267814,0.12102748802403437,2.905755508921835
sensor_comm,9101,s_lr,L4 loss only,0.9748290833580394,1.34713468265929,0.0667169900540884,8.964543370952631
sensor_comm,9101,s_lr,L4 loss + CC dropout,1.0194301541497117,1.4370157592951114,0.2907620879575536,8.060091908653204
sensor_comm,9101,s_lr,L4 slip only,0.5692418843428101,0.5676819701136038,0.09073628041930593,5.3383384885063085
sensor_comm,9101,s_lr,L4 slip + CC dropout,0.5540203039204942,0.5190425669716064,0.026605872390879665,3.6990153846132707
sensor_comm,9101,s_rl,CC dropout only,0.48986765867966714,0.5655080455996518,0.10465668279788391,3.4992554835736165
sensor_comm,9101,s_rl,CC intermittent only,0.5078843754954308,0.5943463424158768,0.07318833231410486,3.6702350868279896
sensor_comm,9101,s_rl,L4 loss only,0.8510287863641663,1.2703643334794832,0.438294500801092,7.259563232046621
sensor_comm,9101,s_rl,L4 loss + CC dropout,0.8372882927743214,1.2498110728334937,0.4252843340607903,6.39560508472149
sensor_comm,9101,s_rl,L4 slip only,0.40038996922295433,0.30395196529001434,0.09525464913677258,3.39604497128415
sensor_comm,9101,s_rl,L4 slip + CC dropout,0.4440212520315444,0.45825571820543115,0.0157501198343414,2.9934477804955275
sensor_comm,9101,sine,CC dropout only,0.45394678184380466,0.4460914968776549,0.13048394782136358,2.475663706469504
sensor_comm,9101,sine,CC intermittent only,0.4269830603852863,0.3833950031066129,0.10310851464195041,2.1644483802459287
sensor_comm,9101,sine,L4 loss only,0.988835972287573,1.4883720159512337,0.2164785809368121,8.59616090634778
sensor_comm,9101,sine,L4 loss + CC dropout,1.000088667355581,1.5071212014349222,0.33781695005358925,7.498895482862169
sensor_comm,9101,sine,L4 slip only,0.5145464833409154,0.5676352770541078,0.0442926960254603,4.714646108706915
