regime,condition,history,levels,rate_per_receiver_bits_per_step,rate_shared_bus_bits_per_step,gain_bits_per_action,shuffle_gap_bits_per_action,eta_per_receiver,eta_shared_bus,context_test_nll_nats,message_test_nll_nats,shuffled_test_nll_nats,context_best_epoch,message_best_epoch,model_seed
own_sensor,limb_loss_sensor_loss_cc_dropout,4,33,5.044394119358453,20.177576477433814,0.011964747029200166,0.6556881667296451,0.0023718898139390115,0.0023718898139390115,-0.3333795666694641,-0.3416728973388672,0.1128155067563057,24,20,43
own_sensor,intact,4,65,6.022367813028454,24.089471252113817,-0.12074102197751282,0.7127662717457057,-0.020048762501072823,-0.020048762501072823,-0.5809272527694702,-0.4972359538078308,-0.0031840221490710974,24,20,43
own_sensor,limb_loss_sensor_loss_cc_dropout,4,65,6.022367813028454,24.089471252113817,0.008404749152002743,0.6489091480784173,0.001395588813725455,0.001395588813725455,-0.3333795666694641,-0.3392052948474884,0.11058425158262253,24,20,43
peer_sensor,intact,4,full_precision,,,0.3918905461586628,0.6423896834940883,,,0.4082087576389313,0.13657093048095703,0.5818415284156799,12,37,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,3.7793129697935846,0.5518727205965546,,,2.4608657360076904,-0.1587543934583664,0.22377462685108185,12,37,41
peer_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,0.4082087576389313,0.4082087576389313,0.4082087576389313,12,40,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,2.4608657360076904,2.4608657360076904,2.4608657360076904,12,40,41
peer_sensor,intact,4,3,4.754887502163468,6.339850002884624,0.004047955653357927,0.5473462662128336,0.0008513252209471015,0.002553975662841305,0.4082087576389313,0.40540292859077454,0.7847944498062134,12,36,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,3,4.754887502163468,6.339850002884624,3.9136938713175327,0.016677415628142848,0.8230886365948314,2.4692659097844945,2.4608657360076904,-0.2519001364707947,-0.2403402328491211,12,36,41
peer_sensor,intact,4,9,9.509775004326936,12.679700005769249,0.5189254667249824,0.4273784997314313,0.054567586140457786,0.16370275842137336,0.4082087576389313,0.04851703345775604,0.344753235578537,12,36,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,9,9.509775004326936,12.679700005769249,3.896446354699611,0.14346610003408955,0.4097306563958382,1.2291919691875146,2.4608657360076904,-0.23994506895542145,-0.1405019462108612,12,36,41
peer_sensor,intact,4,33,15.13318235807536,20.177576477433814,0.41673951321315417,0.6108285990395547,0.0275381280257139,0.08261438407714168,0.4082087576389313,0.11934693902730942,0.542741060256958,12,37,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,33,15.13318235807536,20.177576477433814,3.797209204970561,0.5239859917331264,0.2509194110744523,0.752758233223357,2.4608657360076904,-0.17115911841392517,0.19204029440879822,12,37,41
peer_sensor,intact,4,65,18.067103439085365,24.089471252113817,0.3946417741223465,0.6282659737551132,0.02184311256383248,0.06552933769149745,0.4082087576389313,0.134663924574852,0.5701447129249573,12,37,41
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,65,18.067103439085365,24.089471252113817,3.7810740506405884,0.5368132317564036,0.2092794820923438,0.6278384462770314,2.4608657360076904,-0.1599750816822052,0.21211549639701843,12,37,41
peer_sensor,intact,4,full_precision,,,-0.7241705081692379,1.205147788003028,,,0.0987602025270462,0.6007169485092163,1.4360617399215698,13,21,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,2.8782114614374192,0.6194614939268426,,,1.8173857927322388,-0.17763836681842804,0.25173962116241455,13,21,42
peer_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,0.0987602025270462,0.0987602025270462,0.0987602025270462,13,14,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,1.8173857927322388,1.8173857927322388,1.8173857927322388,13,14,42
peer_sensor,intact,4,3,4.754887502163468,6.339850002884624,-0.22889796590223715,0.743690732522649,-0.04813951240656879,-0.14441853721970638,0.0987602025270462,0.2574201822280884,0.7729073166847229,13,37,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,3,4.754887502163468,6.339850002884624,2.8851432221804445,-0.015501290772386173,0.6067742340628896,1.8203227021886685,1.8173857927322388,-0.18244309723377228,-0.19318777322769165,13,37,42
peer_sensor,intact,4,9,9.509775004326936,12.679700005769249,-0.4689786522223699,1.1790486038170052,-0.04931543091282235,-0.14794629273846704,0.0987602025270462,0.42383143305778503,1.2410856485366821,13,21,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,9,9.509775004326936,12.679700005769249,2.7411336354717974,0.5024493567896744,0.2882437948557757,0.8647313845673272,1.8173857927322388,-0.08262325823307037,0.26564809679985046,13,21,42
peer_sensor,intact,4,33,15.13318235807536,20.177576477433814,-0.7091381065965978,1.1672537326511947,-0.04685981374024664,-0.14057944122073993,0.0987602025270462,0.590297281742096,1.3993759155273438,13,21,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,33,15.13318235807536,20.177576477433814,2.8836917745984882,0.6093819132272437,0.19055422094082508,0.5716626628224752,1.8173857927322388,-0.18143703043460846,0.24095432460308075,13,21,42
peer_sensor,intact,4,65,18.067103439085365,24.089471252113817,-0.720699812283501,1.1824059201401609,-0.039890169152647856,-0.11967050745794358,0.0987602025270462,0.5983112454414368,1.417892575263977,13,21,42
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,65,18.067103439085365,24.089471252113817,2.8790397728796373,0.6168059528105326,0.15935259254957732,0.47805777764873203,1.8173857927322388,-0.178212508559227,0.24932479858398438,13,21,42
peer_sensor,intact,4,full_precision,,,1.1965081535456095,0.6020852052990874,,,0.6363211870193481,-0.1930350661277771,0.2242985963821411,15,36,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,3.256079595638465,0.6055646723000182,,,3.308326482772827,1.0513840913772583,1.4711295366287231,15,36,43
peer_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,0.6363211870193481,0.6363211870193481,0.6363211870193481,15,15,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,3.308326482772827,3.308326482772827,3.308326482772827,15,15,43
peer_sensor,intact,4,3,4.754887502163468,6.339850002884624,0.8099641717902225,0.9244227535230424,0.17034349843643826,0.5110304953093148,0.6363211870193481,0.07489680498838425,0.7156578302383423,15,38,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,3,4.754887502163468,6.339850002884624,4.090855607728424,0.054249949414188064,0.8603475068268366,2.58104252048051,3.308326482772827,0.47276145219802856,0.5103646516799927,15,38,43
peer_sensor,intact,4,9,9.509775004326936,12.679700005769249,1.2217030959490582,0.24459767628359846,0.12846813887743766,0.385404416632313,0.6363211870193481,-0.2104988694190979,-0.04095667973160744,15,38,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,9,9.509775004326936,12.679700005769249,4.164788240607594,0.2506004351167836,0.4379481363873089,1.3138444091619266,3.308326482772827,0.42151525616645813,0.5952182412147522,15,38,43
peer_sensor,intact,4,33,15.13318235807536,20.177576477433814,1.1984785587765445,0.5798417216605892,0.07919540850157093,0.23758622550471278,0.6363211870193481,-0.1944008469581604,0.20751480758190155,15,36,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,33,15.13318235807536,20.177576477433814,3.2575730929785576,0.6000448891205764,0.215260281406723,0.6457808442201689,3.308326482772827,1.0503488779067993,1.4662683010101318,15,36,43
peer_sensor,intact,4,65,18.067103439085365,24.089471252113817,1.195986444174217,0.5913248097782167,0.06619691132043261,0.19859073396129787,0.6363211870193481,-0.1926734447479248,0.21720167994499207,15,36,43
peer_sensor,limb_loss_sensor_loss_cc_dropout,4,65,18.067103439085365,24.089471252113817,3.2504944590516955,0.6237753992519285,0.17991231798782736,0.5397369539634822,3.308326482772827,1.05525541305542,1.4876235723495483,15,36,43
