regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9104,ID,left,L2,2,0.5,0.016688428340347342,-0.0005934716762007047
capacity,9104,ID,left,L2,2,0.0,0.016223636359071026,-0.001058263657477021
capacity,9104,ID,left,L3,3,0.5,0.0757255018544191,0.05844360183787106
capacity,9104,ID,left,L3,3,0.0,0.36042712180769043,0.3431452217911424
capacity,9104,ID,left,L4,4,0.5,0.12162384966231646,0.10434194964576841
capacity,9104,ID,left,L4,4,0.0,0.8136579270146513,0.7963760269981033
capacity,9104,ID,right,intact,0,1.0,0.021519145255146428,0.0
capacity,9104,ID,right,L1,1,0.5,0.03649241301429175,0.014973267759145321
capacity,9104,ID,right,L1,1,0.0,0.11755944246357752,0.0960402972084311
capacity,9104,ID,right,L2,2,0.5,0.021233605693278666,-0.00028553956186776197
capacity,9104,ID,right,L2,2,0.0,0.02294886827072684,0.0014297230155804128
capacity,9104,ID,right,L3,3,0.5,0.10605425669102114,0.08453511143587472
capacity,9104,ID,right,L3,3,0.0,0.3354582582843634,0.31393911302921695
capacity,9104,ID,right,L4,4,0.5,0.05219764530371691,0.03067850004857048
capacity,9104,ID,right,L4,4,0.0,0.41659440950377846,0.39507526424863204
capacity,9104,OOS,s_lr,intact,0,1.0,0.01928660249777877,0.0
capacity,9104,OOS,s_lr,L1,1,0.5,0.02535620913446395,0.006069606636685182
capacity,9104,OOS,s_lr,L1,1,0.0,0.07929847833160009,0.06001187583382132
capacity,9104,OOS,s_lr,L2,2,0.5,0.020292861175314425,0.0010062586775356555
capacity,9104,OOS,s_lr,L2,2,0.0,0.023429254655757802,0.004142652157979033
capacity,9104,OOS,s_lr,L3,3,0.5,0.09377011027902582,0.07448350778124704
capacity,9104,OOS,s_lr,L3,3,0.0,0.3637535687846636,0.34446696628688483
capacity,9104,OOS,s_lr,L4,4,0.5,0.08005900107201444,0.06077239857423567
capacity,9104,OOS,s_lr,L4,4,0.0,0.5709370567300447,0.5516504542322659
capacity,9104,OOS,s_rl,intact,0,1.0,0.020236781578022126,0.0
capacity,9104,OOS,s_rl,L1,1,0.5,0.026778157492051743,0.006541375914029618
capacity,9104,OOS,s_rl,L1,1,0.0,0.07247975842335087,0.05224297684532875
capacity,9104,OOS,s_rl,L2,2,0.5,0.021006669315594202,0.0007698877375720767
capacity,9104,OOS,s_rl,L2,2,0.0,0.023777044072665305,0.0035402624946431795
capacity,9104,OOS,s_rl,L3,3,0.5,0.09429345033567561,0.07405666875765349
capacity,9104,OOS,s_rl,L3,3,0.0,0.3455511016418408,0.32531432006381866
capacity,9104,OOS,s_rl,L4,4,0.5,0.08547201817598256,0.06523523659796043
capacity,9104,OOS,s_rl,L4,4,0.0,0.6316285858451856,0.6113918042671634
capacity,9104,OOS,sine,intact,0,1.0,0.013791284528811011,0.0
capacity,9104,OOS,sine,L1,1,0.5,0.018884317860950472,0.00509303333213946
capacity,9104,OOS,sine,L1,1,0.0,0.06710401937379608,0.05331273484498507
capacity,9104,OOS,sine,L2,2,0.5,0.014865187406491454,0.001073902877680442
capacity,9104,OOS,sine,L2,2,0.0,0.0179550828411185,0.004163798312307487
capacity,9104,OOS,sine,L3,3,0.5,0.0796064012847933,0.06581511675598228
capacity,9104,OOS,sine,L3,3,0.0,0.3217422492341269,0.3079509647053159
